Address,Detail_URL,Property_Images,ID,Monthly Rent,Move In Date,Move Out Date,Lease Term,Short Lease Term,Sublease Permitted,Security Deposit,Property Owner,Property Type,"Location
                                            Sector",Level,City,Bedrooms,Bathrooms,Max Occupancy,Wheel Chair Access,Basement,Laundry,Parking,Number of Parking Spaces,Off-street Parking,Off-street Monthly,Off-street Yearly,On-street Parking,On-street Permit Required,Garage Parking,Garage Monthly,Garage Yearly,Furnished,Fireplace,Air Conditioning,Dishwasher,Stove,Refrigerator,Security System,Backyard,Deck Or Porch,Other Amenities,Pet Deposit,Additional Pet Rent,Additional Dog Rent,Additional Cat Rent,Pets Allowed,Dogs Allowed,Cats Allowed,Pet Deposit Refundable,Water Included,Electric Included,Gas Included,Name,Phone
2060 North High Street Sublet (Sublet),https://offcampus.osu.edu/search-housing.aspx?property=7355&pricefrom=0&sort=1&alllandlords=0&sublet=true,['https://offcampus.osu.edu/posts/vendors/properties/img-5371-big.jpg'],00001CBB,$930.00,5/3/2026,8/2/2026,FLEXIBLE,No,Yes,$175,Inn-Town Homes and Apartments,Studio/Efficiency,University District: Northeast,Ground Level,"Columbus, OH",1,"1 full, 0 half",2,Yes,No,Laundry facilities in the building,Yes,0,Yes,n/a,n/a,No,,No,n/a,n/a,Yes,No,Central A/C,No,No,Yes,No,No,No,,$0,$0,$0,$0,No,No,No,No,Yes,Yes,Yes,,
399 East 13th  Avenue,https://offcampus.osu.edu/search-housing.aspx?property=20227&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-703-3-2nd-floor-south-room-f-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/397-e-13th-ave-3rd-floor-smaller-room-curtain-img-1541-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-7006-399-2nd-floor-mid-room-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-8158-2nd-floor-north-room-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-7035-2nd-floor-south-room-sun-room-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/397-e-13th-ave-bathroom-img-2750-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-6217-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-6217-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/397-399-house-pic6-lv-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/397-399-house-pic1-house-front-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/397-399-house-pic5-lv-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/397-399-house-pic3-lv3-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/397-399-house-pic4-kitchen-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/397-399-house-pic2-bathroom-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/397-399-house-3rd-floor-north-room-big-f-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/397-399-house-3rd-floor-north-room-big-b-big.jpg']",00004F03,$440.00 - $550.00,05-01-2026,07-31-2026,6.5 months,Yes,Yes,$one month's rent,Junxia Xie,Half Double,University District: Central,Above Ground,"Columbus, OH",5,"1 full, 0 half",5,No,Yes,Laundry facilities in the building,Yes,5,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,Yes,Yes,Yes,Single room available in this 5-bedroom unit for Fall semester 2026.   A group of 5 is more favorable for school calendar year of 2026-2027,$300,$40,$40,$40,Yes,No,Yes,Yes,No,No,No,,
2233 Neil  Avenue Unit I,https://offcampus.osu.edu/search-housing.aspx?property=17341&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/1-11-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/4-7-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/22-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/31-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-0293-6-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/29-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/17-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-0300-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-0302-5-big.jpg']",000043BD,$450.00 - $600.00,08-16-2026,08-09-2027,12 Months,No,No,$one month's rent,"OSU Apartments & Rentals, Inc.",House,University District: Northwest,Above Ground,"Columbus, OH",1,"1 full, 0 half",1,No,No,Laundry facilities in the unit,Yes,0,No,n/a,n/a,Yes,,No,n/a,n/a,No,Yes,Window A/C,Yes,Yes,Yes,Yes,Yes,Yes,"This is a beautiful house, one block from OSU's north campus.  Nearby amenities include a park, tennis courts, and shopping.  The house also boasts two fireplaces, bay windows, and sun room.  Flooring includes:  wooden floors in the kitchen, marble floors in the bathroom, and carpeting throughout the bedrooms.   

Washer / dryer and dishwasher included. Local area network, satellite dish, high speed internet access, and security system are also available/pre-wired but not included in rent. 

This house also includes a large fenced-in backyard with picnic table.  

Permit parking area; on-street parking available.",$$0,$0,$0,$0,No,No,No,Yes,No,No,No,,
"Box 65Columbus, OH 43216",https://offcampus.osu.edu/search-housing.aspx?property=20887&pricefrom=0&sort=1&alllandlords=0,[],00005197,$450.00,08-16-2026,08-09-2027,"August 16, 2026 - August 9, 2027",No,No,$one month's rent,"OSU Apartments & Rentals, Inc.",Rooming House,University District: Northwest,Above Ground,"Columbus, OH",1,"1 full, 0 half",1,No,No,Laundry facilities in the unit,Yes,0,No,n/a,n/a,Yes,,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,Yes,Yes,Yes,"This is a beautiful house, one block from OSU's north campus.  Nearby amenities include a park, tennis courts, and shopping.  The house also boasts two fireplaces, bay windows, and sun room.  Flooring includes:  wooden floors in the kitchen, marble floors in the bathroom, and carpeting throughout the bedrooms.   

Washer / dryer and dishwasher included. Local area network, satellite dish, high speed internet access, and security system are also available/pre-wired but not included in rent. 

This house also includes a large fenced-in backyard with picnic table.  

Permit parking area; on-street parking available.   Please call to reserve your viewing time today!",$0,$0,$0,$0,No,No,No,No,No,No,No,V. Frank,614-300-5336
"1299 Neil AveColumbus, OH 43201",https://offcampus.osu.edu/search-housing.aspx?property=21062&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-1015-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-8969-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/thumbnail-8-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/thumbnail-6-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/thumbnail-1-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-5641-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/54fffbd1f6f6ca958e60e104e059ba35-uncropped-scaled-within-1536-1152-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/thumbnail-3-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/thumbnail-14-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/thumbnail-11-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/thumbnail-13-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/fd9473ec3b482942109d585c27889a4a-uncropped-scaled-within-1536-1152-1-big.jpg']",00005246,$460.00 - $490.00,07-17-2026,07-14-2027,One year or longer,No,Yes,$12 Months+,BRE LLC,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",4,"1 full, 0 half",1,No,Yes,Laundry facilities in the unit,Yes,4,No,n/a,n/a,Yes,,No,n/a,n/a,Yes,No,Central A/C,No,Yes,Yes,No,Yes,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,Susan Zhang,614-285-8088
"1299 Neil AveColumbus, OH 43201",https://offcampus.osu.edu/search-housing.aspx?property=21686&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-7570-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-8689-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-8691-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-8693-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-8706-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-8722-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-8718-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-8724-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-8739-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-8730-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc-8729-1-big.jpg']",000054B6,$465.00,08-05-2026,08-04-2027,12 months +,No,Yes,$One month rent,BRE LLC,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",4,"1 full, 0 half",1,No,Yes,Laundry facilities in the unit,Yes,4,No,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,No,Yes,Yes,No,Yes,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,Susan Zhang,614-285-8088
"1299 Neil AveColumbus, OH 43201",https://offcampus.osu.edu/search-housing.aspx?property=21052&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-9313-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-9312-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-9314-3-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-9315-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-9316-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-9317-3-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-9318-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-9311-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-9914-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-9908-big.jpg']",0000523C,$470.00 - $490.00,07-12-2026,07-10-2027,12 months+,No,No,$One month rent,BRE LLC,House,University District: Central,Above Ground,"Columbus, OH",5,"1 full, 1 half",2,No,Yes,Laundry facilities in the building,Yes,5,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,Susan Zhang,614-285-8088
395 East 14th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=20905&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-1669-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-5138-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1567-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-2972-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/395pic7-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/395pic10-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/395pic9-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/395pic11-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-2911-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-2912-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-2914-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-2913-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/395pic14-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/395pic15-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1524-1-big.jpg']",000051A9,$470.00 - $510.00,05-01-2026,07-31-2026,3 months,Yes,Yes,$1 month,Junxia Xie,House,University District: Central,Above Ground,"Columbus, OH",6,"2 full, 0 half",6,No,Yes,Laundry facilities in the building,Yes,4,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,This house is lived by OSU female students at their early 20s and the current tenants prefer female students of their similar age,$300,$40,$40,$40,Yes,Yes,No,Yes,No,No,No,,
1695 North Fourth Street (Single Room),https://offcampus.osu.edu/search-housing.aspx?property=18250&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-6733-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-6755-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1695n4thrental-house-011-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-6736-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1490-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1695n4thrental-house-014-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1695n4thrental-house-013-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1506-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-6732-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/image2-3-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1510-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1430-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-6731-1-big.jpg']",0000474A,$470.00 - $510.00,08-17-2026,08-10-2027,one year,Yes,Yes,$one month's rent,Junxia Xie,House,University District: Central,Above Ground,"Columbus, OH",6,"3 full, 0 half",7,No,Yes,Laundry facilities in the unit,Yes,5,Yes,n/a,n/a,Yes,,Yes,$40,$480,Yes,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"Renting per room.  Multiple bedrooms available in this 6-bedroom newly renovated home. Newly remodeled interior,  New central Air conditioning and Furnace system, installed  two years ago,  New Appliances, New flooring, walking distance to campus. Nice backyard with Fence.",$300,$30,$30,$30,Yes,Yes,Yes,Yes,No,No,No,,
388 East 17th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=20351&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-6217-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-5881-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-5882-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-5884-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1-125-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/16-135-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/parking-dedicated-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/gopr2066-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/6-110-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/13-69-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/8-13-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/10-111-big.jpg']",00004F7F,"$480.00 - $1,920.00",08-09-2026,07-31-2027,12 months,No,Yes,$1920,D&D Columbus Properties,Half Double,University District: Central,Above Ground,"Columbus, OH",4,"2 full, 0 half",6,No,Yes,Laundry facilities in the unit,Yes,4,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,Yes,Yes,Yes,Free parking,$350,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
347 East 12th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=11821&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/347e12thave1-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/347e12thave2-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/house-photo-3a-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-3707-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1180-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1161-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1155-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1176-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1181-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1182-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1184-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/top-br-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1186-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1188-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1197-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1200-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-1203-1-big.jpg']",00002E2D,"$480.00 - $2,400.00",08-15-2026,7/31/2027,12 month,No,Yes,$2400,Easton O Properties,House,University District: Central,Ground Level,"Columbus, OH",5,"2 full, 1 half",5,No,Yes,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,Yes,Yes,Yes,"This is a very large house with 2 1/2 bathrooms, large kitchen, ....huge bedrooms with tall ceilings and oversized living areas.",$300,$50,$50,$50,No,No,No,No,No,No,No,,
1441  Hamlet Street,https://offcampus.osu.edu/search-housing.aspx?property=20283&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/1441pic5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1441pic9-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1441pic16-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1441pic24-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1441pic6-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1441pic17-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-6017-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-8889-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-8668-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-9191-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-7493-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-7493-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-8886-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1441pic1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1441pic2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1441pic3-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1441pic4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1441pic10-big.jpg']",00004F3B,$490.00 - $780.00,05-01-2026,07-31-2027,3 months,Yes,Yes,$one month rent,Junxia Xie,House,University District: Central,Above Ground,"Columbus, OH",6,"2 full, 1 half",7,No,Yes,Laundry facilities in the unit,Yes,4,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"Single room available in a spacious 6 bedroom house available for 2027 Calendar year, there is a master bedroom with a private bathroom, a group of 6-7 is preferred.",$300,$40,$40,$40,Yes,Yes,Yes,Yes,No,No,No,,
180 East 12th Avenue Unit D,https://offcampus.osu.edu/search-housing.aspx?property=15835&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/img-20190804-173346-18tw-ext-pic-1-of-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/18tw-d10241024-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1315-copy-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1317-copy-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1321-copy-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1322-copy-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1313-copy-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1332-copy-big.jpg']",00003DDB,"$495.00 - $1,980.00",08-23-2026,08-05-2027,12 month,No,Yes,$1980,Cooper Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"1 full, 0 half",4,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Nice units, newer construction.  Central air conditioning, washer and dryer in unit, dishwasher, free off street parking (2 spots).  Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 180 E 12th Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/180-e-12th-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
