Address,Detail_URL,ID,Monthly Rent,Move In Date,Move Out Date,Lease Term,Short Lease Term,Sublease Permitted,Security Deposit,Property Owner,Property Type,"Location
                                            Sector",Level,City,Bedrooms,Bathrooms,Max Occupancy,Wheel Chair Access,Basement,Laundry,Parking,Number of Parking Spaces,Off-street Parking,Off-street Monthly,Off-street Yearly,On-street Parking,On-street Permit Required,Garage Parking,Garage Monthly,Garage Yearly,Furnished,Fireplace,Air Conditioning,Dishwasher,Stove,Refrigerator,Security System,Backyard,Deck Or Porch,Other Amenities,Pet Deposit,Additional Pet Rent,Additional Dog Rent,Additional Cat Rent,Pets Allowed,Dogs Allowed,Cats Allowed,Pet Deposit Refundable,Water Included,Electric Included,Gas Included,Name,Phone
2060 North High Street Sublet (Sublet),https://offcampus.osu.edu/search-housing.aspx?property=7355&pricefrom=0&sort=1&alllandlords=0&sublet=true,00001CBB,$900.00,5/1/2026,8/2/2026,FLEXIBLE,No,Yes,$175,Inn-Town Homes and Apartments,Studio/Efficiency,University District: Northeast,Ground Level,"Columbus, OH",1,"1 full, 0 half",2,Yes,No,Laundry facilities in the building,Yes,0,Yes,n/a,n/a,No,,No,n/a,n/a,Yes,No,Central A/C,No,No,Yes,No,No,No,,$0,$0,$0,$0,No,No,No,No,Yes,Yes,Yes,,
399 East 13th  Avenue,https://offcampus.osu.edu/search-housing.aspx?property=20227&pricefrom=0&sort=1&alllandlords=0,00004F03,$440.00 - $550.00,02-01-2026,08-14-2026,6.5 months,Yes,Yes,$one month's rent,Junxia Xie,Half Double,University District: Central,Above Ground,"Columbus, OH",5,"1 full, 0 half",5,No,Yes,Laundry facilities in the building,Yes,5,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,Yes,Yes,Yes,Single room available in this 5-bedroom unit for Fall semester 2026.   A group of 5 is more favorable for school calendar year of 2026-2027,$300,$40,$40,$40,Yes,No,Yes,Yes,No,No,No,,
2233 Neil  Avenue Unit I,https://offcampus.osu.edu/search-housing.aspx?property=17341&pricefrom=0&sort=1&alllandlords=0,000043BD,$450.00 - $600.00,08-16-2026,08-09-2027,12 Months,No,No,$one month's rent,"OSU Apartments & Rentals, Inc.",House,University District: Northwest,Above Ground,"Columbus, OH",1,"1 full, 0 half",1,No,No,Laundry facilities in the unit,Yes,0,No,n/a,n/a,Yes,,No,n/a,n/a,No,Yes,Window A/C,Yes,Yes,Yes,Yes,Yes,Yes,"This is a beautiful house, one block from OSU's north campus.  Nearby amenities include a park, tennis courts, and shopping.  The house also boasts two fireplaces, bay windows, and sun room.  Flooring includes:  wooden floors in the kitchen, marble floors in the bathroom, and carpeting throughout the bedrooms.   

Washer / dryer and dishwasher included. Local area network, satellite dish, high speed internet access, and security system are also available/pre-wired but not included in rent. 

This house also includes a large fenced-in backyard with picnic table.  

Permit parking area; on-street parking available.",$$0,$0,$0,$0,No,No,No,Yes,No,No,No,,
"Box 65Columbus, OH 43216",https://offcampus.osu.edu/search-housing.aspx?property=20887&pricefrom=0&sort=1&alllandlords=0,00005197,$450.00,08-16-2026,08-09-2027,"August 16, 2026 - August 9, 2027",No,No,$one month's rent,"OSU Apartments & Rentals, Inc.",Rooming House,University District: Northwest,Above Ground,"Columbus, OH",1,"1 full, 0 half",1,No,No,Laundry facilities in the unit,Yes,0,No,n/a,n/a,Yes,,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,Yes,Yes,Yes,"This is a beautiful house, one block from OSU's north campus.  Nearby amenities include a park, tennis courts, and shopping.  The house also boasts two fireplaces, bay windows, and sun room.  Flooring includes:  wooden floors in the kitchen, marble floors in the bathroom, and carpeting throughout the bedrooms.   

Washer / dryer and dishwasher included. Local area network, satellite dish, high speed internet access, and security system are also available/pre-wired but not included in rent. 

This house also includes a large fenced-in backyard with picnic table.  

Permit parking area; on-street parking available.   Please call to reserve your viewing time today!",$0,$0,$0,$0,No,No,No,No,No,No,No,V. Frank,614-300-5336
"1299 Neil AveColumbus, OH 43201",https://offcampus.osu.edu/search-housing.aspx?property=21686&pricefrom=0&sort=1&alllandlords=0,000054B6,$460.00 - $480.00,08-05-2026,08-04-2027,12 months +,No,Yes,$One month rent,BRE LLC,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",4,"1 full, 0 half",1,No,Yes,Laundry facilities in the unit,Yes,4,No,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,No,Yes,Yes,No,Yes,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,Susan Zhang,614-285-8088
"1299 Neil AveColumbus, OH 43201",https://offcampus.osu.edu/search-housing.aspx?property=21062&pricefrom=0&sort=1&alllandlords=0,00005246,$460.00 - $520.00,07-20-2026,08-10-2027,One year or longer,No,Yes,$One month rent,BRE LLC,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",4,"1 full, 0 half",5,No,Yes,Laundry facilities in the unit,Yes,4,No,n/a,n/a,Yes,,No,n/a,n/a,Yes,No,Central A/C,No,Yes,Yes,No,Yes,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,Susan Zhang,614-285-8088
395 East 14th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=20905&pricefrom=0&sort=1&alllandlords=0,000051A9,$470.00 - $510.00,05-01-2026,07-31-2026,3 months,Yes,Yes,$1 month,Junxia Xie,House,University District: Central,Above Ground,"Columbus, OH",6,"2 full, 0 half",6,No,Yes,Laundry facilities in the building,Yes,4,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,This house is lived by OSU female students at their early 20s and the current tenants prefer female students of their similar age,$300,$40,$40,$40,Yes,Yes,No,Yes,No,No,No,,
1695 North Fourth Street (Single Room),https://offcampus.osu.edu/search-housing.aspx?property=18250&pricefrom=0&sort=1&alllandlords=0,0000474A,$470.00 - $510.00,08-17-2026,08-10-2027,one year,Yes,Yes,$one month's rent,Junxia Xie,House,University District: Central,Above Ground,"Columbus, OH",6,"3 full, 0 half",7,No,Yes,Laundry facilities in the unit,Yes,5,Yes,n/a,n/a,Yes,,Yes,$40,$480,Yes,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"Renting per room.  Multiple bedrooms available in this 6-bedroom newly renovated home. Newly remodeled interior,  New central Air conditioning and Furnace system, installed  two years ago,  New Appliances, New flooring, walking distance to campus. Nice backyard with Fence.",$300,$30,$30,$30,Yes,Yes,Yes,Yes,No,No,No,,
388 East 17th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=20351&pricefrom=0&sort=1&alllandlords=0,00004F7F,"$480.00 - $1,920.00",08-09-2026,07-31-2027,12 months,No,Yes,$1920,D&D Columbus Properties,Half Double,University District: Central,Above Ground,"Columbus, OH",4,"2 full, 0 half",6,No,Yes,Laundry facilities in the unit,Yes,4,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,Yes,Yes,Yes,Free parking,$350,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
347 East 12th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=11821&pricefrom=0&sort=1&alllandlords=0,00002E2D,"$480.00 - $2,400.00",08-15-2026,7/31/2027,12 month,No,Yes,$2400,Easton O Properties,House,University District: Central,Ground Level,"Columbus, OH",5,"2 full, 1 half",5,No,Yes,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,Yes,Yes,Yes,"This is a very large house with 2 1/2 bathrooms, large kitchen, ....huge bedrooms with tall ceilings and oversized living areas.",$300,$50,$50,$50,No,No,No,No,No,No,No,,
